OurSubjID,SubjID,ScanSession,Cortical depth,Layer,fearfulBeta,FearfulT,happyBeta,HappyT,NeutralBeta,NeutralT,Beta(F-N),t(F-N),Beta((H-N),t(H-N)
s0063,2,2,14,middle,0.0407240,27.4916,0.0422857,28.4696,0.0385981,26.0414,0.0021259,1.061357,0.003688,1.834646
s0063,2,2,15,superficial,0.0399531,26.0537,0.0416000,27.0553,0.0370067,24.1185,0.0029463,1.420918,0.004593,2.207475
s0063,2,2,16,superficial,0.0394276,22.4718,0.0411040,23.3648,0.0351508,20.0227,0.0042768,1.802699,0.005953,2.500561
s0063,2,2,17,superficial,0.0365249,21.0429,0.0370047,21.2625,0.0317689,18.2922,0.0047560,2.026380,0.005236,2.223074
s0063,2,2,18,superficial,0.0325434,16.0133,0.0332833,16.3337,0.0274540,13.5012,0.0050894,1.852049,0.005829,2.113909
s0063,2,2,19,superficial,0.0281122,13.1160,0.0285035,13.2631,0.0222394,10.3700,0.0058728,2.026392,0.006264,2.153867
s0063,2,2,20,superficial,0.0230599,10.7490,0.0235550,10.9505,0.0177555,8.2717,0.0053044,1.828591,0.005800,1.992314
s0063,2,2,21,superficial,0.0174016,8.4913,0.0190448,9.2684,0.0127964,6.2406,0.0046052,1.661887,0.006248,2.247038
s0083,3,1,1,deep,0.0172104,11.4893,0.0164169,10.9980,0.0166718,11.1820,0.0005385,0.266554,-0.000255,-0.126413
s0083,3,1,2,deep,0.0171923,10.5739,0.0164529,10.1546,0.0164938,10.1919,0.0006986,0.318554,-0.000041,-0.018649
s0083,3,1,3,deep,0.0183152,13.0073,0.0174209,12.4154,0.0174786,12.4714,0.0008365,0.440472,-0.000058,-0.030475
s0083,3,1,4,deep,0.0192122,12.4386,0.0185455,12.0489,0.0187666,12.2071,0.0004456,0.213901,-0.000221,-0.106355
s0083,3,1,5,deep,0.0217395,12.8633,0.0209676,12.4500,0.0207847,12.3560,0.0009549,0.418898,0.000183,0.080434
s0083,3,1,6,deep,0.0241824,14.0914,0.0230333,13.4688,0.0227953,13.3455,0.0013871,0.599290,0.000238,0.102996
s0083,3,1,7,deep,0.0280745,15.9464,0.0253164,14.4302,0.0254405,14.5181,0.0026340,1.109274,-0.000124,-0.052369
s0083,3,1,8,middle,0.0306393,15.1219,0.0277484,13.7430,0.0272506,13.5126,0.0033887,1.240019,0.000498,0.182503
s0083,3,1,9,middle,0.0330431,15.7487,0.0316904,15.1568,0.0315978,15.1305,0.0014453,0.510739,0.000093,0.032790
s0083,3,1,10,middle,0.0372573,17.1343,0.0344285,15.8887,0.0348283,16.0923,0.0024290,0.828245,-0.000400,-0.136584
s0083,3,1,11,middle,0.0409568,18.5442,0.0373103,16.9523,0.0373542,16.9925,0.0036026,1.209411,-0.000044,-0.014761
s0083,3,1,12,middle,0.0455361,20.0225,0.0416746,18.3887,0.0417275,18.4340,0.0038085,1.241636,-0.000053,-0.017284
s0083,3,1,13,middle,0.0484336,20.3454,0.0447934,18.8821,0.0438203,18.4939,0.0046133,1.436826,0.000973,0.303668
s0083,3,1,14,middle,0.0507443,20.8342,0.0452945,18.6618,0.0445880,18.3925,0.0061563,1.874057,0.000706,0.215481
s0083,3,1,15,superficial,0.0500367,19.9982,0.0433761,17.3968,0.0422717,16.9740,0.0077650,2.301003,0.001104,0.327893
s0083,3,1,16,superficial,0.0480792,19.0260,0.0401137,15.9294,0.0382708,15.2156,0.0098084,2.877795,0.001843,0.541766
s0083,3,1,17,superficial,0.0438938,17.3618,0.0352643,13.9971,0.0311174,12.3658,0.0127764,3.746911,0.004147,1.218526
s0083,3,1,18,superficial,0.0373288,16.3255,0.0293559,12.8834,0.0244250,10.7320,0.0129037,4.184146,0.004931,1.602024
s0083,3,1,19,superficial,0.0285698,11.2043,0.0234687,9.2358,0.0171596,6.7609,0.0114102,3.317718,0.006309,1.838099
s0083,3,1,20,superficial,0.0204794,8.5973,0.0166509,7.0144,0.0102111,4.3066,0.0102683,3.196077,0.006440,2.008325
s0083,3,1,21,superficial,0.0139551,7.2051,0.0111047,5.7534,0.0040478,2.0996,0.0099074,3.792666,0.007057,2.706708
s0087,4,1,1,deep,0.0057390,7.6716,0.0051040,6.8019,0.0052110,6.9441,0.0005280,0.522524,-0.000107,-0.105722
