SubjID,ROI,Condition,Y
S16 (7T),IPS1-5,Neutral,NaN
S16 (7T),SPL,Neutral,NaN
S16 (7T),FEF,Neutral,NaN
S16 (7T),AMG,Neutral,1.19
S16 (7T),FFA,Neutral,3.6817
S17 (7T & 3T),V1,Fear,0.4645
S17 (7T & 3T),V2,Fear,0.528
S17 (7T & 3T),V3,Fear,1.144
S17 (7T & 3T),V3AB,Fear,0.162
S17 (7T & 3T),hV4,Fear,2.057
S17 (7T & 3T),LO,Fear,1.3395
S17 (7T & 3T),VO,Fear,0.863
S17 (7T & 3T),TO,Fear,0.4265
S17 (7T & 3T),PHC,Fear,0.609
S17 (7T & 3T),IPS0,Fear,-0.1035
S17 (7T & 3T),IPS1-5,Fear,-0.0135
S17 (7T & 3T),SPL,Fear,0.318
S17 (7T & 3T),FEF,Fear,0.903
S17 (7T & 3T),AMG,Fear,0.4833
S17 (7T & 3T),FFA,Fear,3.7734
S17 (7T & 3T),V1,Happy,0.493
S17 (7T & 3T),V2,Happy,0.4585
S17 (7T & 3T),V3,Happy,1.087
S17 (7T & 3T),V3AB,Happy,0.0545
S17 (7T & 3T),hV4,Happy,1.8415
S17 (7T & 3T),LO,Happy,1.267
S17 (7T & 3T),VO,Happy,0.7215
S17 (7T & 3T),TO,Happy,0.303
S17 (7T & 3T),PHC,Happy,0.3635
S17 (7T & 3T),IPS0,Happy,-0.1865
S17 (7T & 3T),IPS1-5,Happy,-0.0245
S17 (7T & 3T),SPL,Happy,0.21
S17 (7T & 3T),FEF,Happy,0.843
S17 (7T & 3T),AMG,Happy,0.4169
S17 (7T & 3T),FFA,Happy,3.6296
S17 (7T & 3T),V1,Neutral,0.4425
S17 (7T & 3T),V2,Neutral,0.5015
S17 (7T & 3T),V3,Neutral,1.118
S17 (7T & 3T),V3AB,Neutral,0.2025
S17 (7T & 3T),hV4,Neutral,2.0515
S17 (7T & 3T),LO,Neutral,1.4105
S17 (7T & 3T),VO,Neutral,0.93
S17 (7T & 3T),TO,Neutral,0.4165
S17 (7T & 3T),PHC,Neutral,0.593
S17 (7T & 3T),IPS0,Neutral,-0.016
S17 (7T & 3T),IPS1-5,Neutral,0.1125
S17 (7T & 3T),SPL,Neutral,0.408
S17 (7T & 3T),FEF,Neutral,1.029
S17 (7T & 3T),AMG,Neutral,0.4595
S17 (7T & 3T),FFA,Neutral,3.7286
S18 (7T & 3T),V1,Fear,2.1955
S18 (7T & 3T),V2,Fear,1.3135
S18 (7T & 3T),V3,Fear,1.829
S18 (7T & 3T),V3AB,Fear,0.4565
S18 (7T & 3T),hV4,Fear,3.4235
S18 (7T & 3T),LO,Fear,1.54
S18 (7T & 3T),VO,Fear,1.876
S18 (7T & 3T),TO,Fear,0.447
S18 (7T & 3T),PHC,Fear,0.511
S18 (7T & 3T),IPS0,Fear,0.4195
S18 (7T & 3T),IPS1-5,Fear,0.8305
S18 (7T & 3T),SPL,Fear,0.666
S18 (7T & 3T),FEF,Fear,1.01
S18 (7T & 3T),AMG,Fear,0.4973
S18 (7T & 3T),FFA,Fear,3.2498
S18 (7T & 3T),V1,Happy,2.3375
S18 (7T & 3T),V2,Happy,1.3535
S18 (7T & 3T),V3,Happy,1.7725
S18 (7T & 3T),V3AB,Happy,0.365
S18 (7T & 3T),hV4,Happy,3.264
S18 (7T & 3T),LO,Happy,1.4765
S18 (7T & 3T),VO,Happy,1.6205
S18 (7T & 3T),TO,Happy,0.3425
S18 (7T & 3T),PHC,Happy,0.319
S18 (7T & 3T),IPS0,Happy,0.232
S18 (7T & 3T),IPS1-5,Happy,0.4705
S18 (7T & 3T),SPL,Happy,0.368
S18 (7T & 3T),FEF,Happy,1.046
S18 (7T & 3T),AMG,Happy,0.5455
S18 (7T & 3T),FFA,Happy,3.191
S18 (7T & 3T),V1,Neutral,2.213
S18 (7T & 3T),V2,Neutral,1.2155
S18 (7T & 3T),V3,Neutral,1.6935
S18 (7T & 3T),V3AB,Neutral,0.373
S18 (7T & 3T),hV4,Neutral,3.175
S18 (7T & 3T),LO,Neutral,1.3365
S18 (7T & 3T),VO,Neutral,1.596
S18 (7T & 3T),TO,Neutral,0.4025
S18 (7T & 3T),PHC,Neutral,0.3695
S18 (7T & 3T),IPS0,Neutral,0.303
S18 (7T & 3T),IPS1-5,Neutral,0.7035
S18 (7T & 3T),SPL,Neutral,0.368
S18 (7T & 3T),FEF,Neutral,1.021
S18 (7T & 3T),AMG,Neutral,0.5355
S18 (7T & 3T),FFA,Neutral,3.0425
S20 (7T & 3T),V1,Fear,0.9875
S20 (7T & 3T),V2,Fear,1.33
S20 (7T & 3T),V3,Fear,1.957
S20 (7T & 3T),V3AB,Fear,0.411
S20 (7T & 3T),hV4,Fear,2.892
S20 (7T & 3T),LO,Fear,2.492
S20 (7T & 3T),VO,Fear,1.869
S20 (7T & 3T),TO,Fear,1.9025
S20 (7T & 3T),PHC,Fear,0.5485
S20 (7T & 3T),IPS0,Fear,1.4485
S20 (7T & 3T),IPS1-5,Fear,1.65
S20 (7T & 3T),SPL,Fear,-0.149
S20 (7T & 3T),FEF,Fear,1.556
S20 (7T & 3T),AMG,Fear,0.7195
S20 (7T & 3T),FFA,Fear,3.0472
S20 (7T & 3T),V1,Happy,1.074
S20 (7T & 3T),V2,Happy,1.375
S20 (7T & 3T),V3,Happy,1.996
S20 (7T & 3T),V3AB,Happy,0.467
S20 (7T & 3T),hV4,Happy,2.8675
S20 (7T & 3T),LO,Happy,2.491
S20 (7T & 3T),VO,Happy,1.8195
S20 (7T & 3T),TO,Happy,1.884
S20 (7T & 3T),PHC,Happy,0.512
S20 (7T & 3T),IPS0,Happy,1.404
S20 (7T & 3T),IPS1-5,Happy,1.6535
S20 (7T & 3T),SPL,Happy,-0.162
S20 (7T & 3T),FEF,Happy,1.587
S20 (7T & 3T),AMG,Happy,0.9442
S20 (7T & 3T),FFA,Happy,3.0418
S20 (7T & 3T),V1,Neutral,0.8865
S20 (7T & 3T),V2,Neutral,1.216
S20 (7T & 3T),V3,Neutral,1.787
S20 (7T & 3T),V3AB,Neutral,0.393
S20 (7T & 3T),hV4,Neutral,2.718
S20 (7T & 3T),LO,Neutral,2.413
S20 (7T & 3T),VO,Neutral,1.7395
S20 (7T & 3T),TO,Neutral,1.928
S20 (7T & 3T),PHC,Neutral,0.4085
S20 (7T & 3T),IPS0,Neutral,1.4615
